,star,ra,dec,comment,ra_deg,dec_deg,MAIN_ID,RA_2_A_ICRS_J2017_5_2000,DEC_2_D_ICRS_2017_5_2000,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,Diameter_diameter,Diameter_Q,Diameter_unit,Diameter_error,Diameter_filter,Diameter_method,Diameter_bibcode,FLUX_I,FLUX_H,Fe_H_Teff,Fe_H_log_g,Fe_H_Fe_H,Fe_H_flag,Fe_H_CompStar,Fe_H_CatNo,Fe_H_bibcode,S_Type
25,HIP 5743 ,01:13:45.3 ,07:34:41.8 ,H-coron (~1 hr),18.43875,7.57827777777778,b'* zet Psc B',01 13 45.4188,+07 34 41.678,41.2376,,pc,-0.092,0.092,paral,2018yCat.1345....0G,,,,,,,,,5.0879998207092285,6848,,,,b'SUN',,2011A&A...530A.138C,F7V
26,HD 8077 ,01:19:05.6 ,-53:51:01.9 ,H-coron (~1 hr),19.7733333333333,-53.8505277777778,b'HD   8077',01 19 05.7057,-53 51 01.912,87.4929,,pc,-0.1883,0.1883,paral,2018yCat.1345....0G,,,,,,,,,7.664000034332275,0,,,,b'',,,F6V
27,HIP 6276 ,01:20:32.3 ,-11:28:03.7 ,H-coron (~1 hr),20.134583333333303,-11.467694444444401,b'BD-12   243',01 20 32.4007,-11 28 03.728,35.3321,,pc,-0.0602,0.0602,paral,2018yCat.1345....0G,,,,,,,,,6.6539998054504395,5421,4.559999942779541,0.05999999865889549,,b'SUN',,2005ApJS..159..141V,G9V
28,HIP 6485 ,01:23:21.1 ,-57:28:50.5 ,H-coron (~1 hr),20.837916666666697,-57.480694444444396,b'HD   8558',01 23 21.4562,-57 28 50.689,45.3145,,pc,-0.053,0.053,paral,2018yCat.1345....0G,,,,,,,,7.7729997634887695,6.946000099182129,5597,,,,b'SUN',,2011A&A...530A.138C,G7V
29,HIP 6494 ,01:23:25.6 ,-76:36:42.1 ,H-coron (~1 hr); H-coron-pol,20.856666666666698,-76.61169444444441,b'HD   8813',01 23 26.3704,-76 36 42.414,46.3521,,pc,-0.061,0.061,paral,2018yCat.1345....0G,,,,,,,,,6.861999988555908,5777,,,,b'SUN',,2006A&A...450..735M,G6V
30,HIP 6856 ,01:28:08.7 ,-52:38:19.1 ,H-coron (~1 hr),22.03625,-52.638638888888906,b'V* CC Phe',01 28 08.8650,-52 38 19.147,39.8438,,pc,-0.0438,0.0438,paral,2018yCat.1345....0G,,,,,,,,,6.943999767303467,4720,4.610000133514404,,,b'',,2003AJ....125.1598L,K1V
31,HIP 6960 ,01:29:36.1 ,-21:37:45.5 ,H-coron (~1 hr),22.400416666666697,-21.6293055555556,b'*  48 Cet',01 29 36.2064,-21 37 45.616,70.8331,,pc,-1.299,1.299,paral,2018yCat.1345....0G,,,,,,,,,5.026000022888184,9333,,,,b'SUN',,2012A&A...537A.120Z,A0V
32,HIP 7345 ,01:34:37.7 ,-15:40:34.9 ,H-coron (~1 hr); H-coron-pol,23.6570833333333,-15.676361111111099,b'*  49 Cet',01 34 37.8929,-15 40 34.898,57.0666,,pc,-0.326,0.326,paral,2018yCat.1345....0G,1160000.0,,km,,,,2007ApJ...660.1556R,5.539999961853027,5.5279998779296875,8790,,,,b'SUN',,2012A&A...537A.120Z,A1V
33,HIP 7576 ,01:37:35.4 ,-06:45:36.7 ,H-coron (~1 hr),24.3975,-6.760194444444441,b'V* EX Cet',01 37 35.6687,-06 45 37.531,24.0441,,pc,-0.025,0.025,paral,2018yCat.1345....0G,,,,,,,,6.816999912261963,5.900000095367432,5415,4.630000114440918,0.019999999552965164,,b'SUN',,2002NewA....7..211G,K0/1V
34,HD 10800 ,01:37:55.6 ,-82:58:30.0 ,H-coron (~1 hr),24.481666666666698,-82.975,b'HD  10800',01 37 56.7255,-82 58 29.967,26.726,,pc,-0.1011,0.1011,paral,2018yCat.1345....0G,,,,,,,,,4.526000022888184,5782,4.130000114440918,,,b'',,2003AJ....125.1598L,G1V
35,HD 10472 ,01:40:24.1 ,-60:59:56.6 ,H-coron (~1 hr); H-coron-pol,25.1004166666667,-60.9990555555556,b'HD  10472',01 40 24.2120,-60 59 56.623,71.1541,,pc,-0.1488,0.1488,paral,2018yCat.1345....0G,891000.0,,km,,,,2007ApJ...660.1556R,7.130000114440918,6.689000129699707,6775,,,,b'SUN',,2011A&A...530A.138C,F2IV/V
36,HD 10647 ,01:42:29.3 ,-53:44:27.0 ,H-coron (~1 hr); H-coron-pol,25.6220833333333,-53.7408333333333,b'* q01 Eri',01 42 29.6420,-53 44 26.991,17.3444,,pc,-0.0221,0.0221,paral,2018yCat.1345....0G,689000.0,,km,,,,2007ApJ...660.1556R,,4.400000095367432,6222,4.630000114440918,0.009999999776482582,,b'',,2018A&A...614A..84S,F9V
37,tau Cet ,01:44:04 ,-15:56:14 ,H-coron-pol,26.016666666666698,-15.9372222222222,b'* tau Cet',01 44 01.9951,-15 56 14.926,3.6033,,pc,-0.0067,0.0067,paral,2018yCat.1345....0G,,,,,,,,2.4100000858306885,1.7200000286102295,5358,4.570000171661377,,,b'',,2003AJ....125.1598L,G8V
38,HIP 8241 ,01:46:06.3 ,-53:31:19.3 ,H-coron (~1 hr); H-coron-pol,26.52625,-53.522027777777794,b'* q02 Eri',01 46 06.5112,-53 31 19.327,60.9674,,pc,-0.4799,0.4799,paral,2018yCat.1345....0G,1350000.0,,km,,,,2007ApJ...660.1556R,,5.026000022888184,9110,,,,b'SUN',,2006A&A...458..293P,A1V
39,HIP 8661 ,01:51:36.3 ,-02:38:16.0 ,H-coron (~1 hr),27.90125,-2.6377777777777798,b'HD  11351',01 51 36.4608,-02 38 16.223,65.5811,,pc,-0.3067,0.3067,paral,2018yCat.1345....0G,,,,,,,,,6.35099983215332,6976,,,,b'SUN',,2011A&A...530A.138C,F0V
40,HD 12039 ,01:57:48.9 ,-21:54:05.0 ,H-coron (~1 hr); H-coron-pol,29.45375,-21.9013888888889,b'V* DK Cet',01 57 49.1078,-21 54 05.343,41.4115,,pc,-0.0919,0.0919,paral,2018yCat.1345....0G,,,,,,,,7.3429999351501465,6.554999828338623,5691,,,,b'SUN',,2011A&A...530A.138C,G4V
41,HIP 9892 ,02:07:18.0 ,-53:11:56.4 ,H-coron (~1 hr); H-coron-pol,31.825,-53.199,b'HD  13183',02 07 18.2285,-53 11 56.532,49.5349,,pc,-0.0812,0.0812,paral,2018yCat.1345....0G,,,,,,,,7.869999885559082,6.986000061035156,5551,,,,b'SUN',,2011A&A...530A.138C,G7V
42,HD 13246 ,02:07:26.0 ,-59:40:45.8 ,H-coron (~1 hr); H-coron-pol,31.858333333333302,-59.6793888888889,b'HD  13246',02 07 26.3391,-59 40 45.943,45.61,,pc,-0.0558,0.0558,paral,2018yCat.1345....0G,,,,,,,,,6.303999900817871,6263,,,,b'SUN',,2011A&A...530A.138C,F7V
43,HD 14228 ,02:16:30.6 ,-51:30:44.0 ,H-coron (~1 hr),34.1275,-51.512222222222206,b'* phi Eri',02 16 30.7562,-51 30 43.795,46.0955,,pc,-0.7235,0.7235,paral,2018yCat.1345....0G,,,,,,,,3.75,3.819999933242798,14180,,,,b'SUN',,1995A&AS..110..553S,B8IV
44,HIP 10786 ,02:18:53.2 ,-69:53:12.0 ,H-coron (~1 hr),34.7216666666667,-69.8866666666667,b'HD  14706',02 18 53.2151,-69 53 12.604,73.9087,,pc,-0.2895,0.2895,paral,2018yCat.1345....0G,,,,,,,,,7.328000068664551,6006,4.329999923706055,,,b'SUN',,2014MNRAS.442..220F,G0V
45,LP 353-51 ,02:23:26.6 ,22:44:06.7 ,H-coron (~1 hr),35.8608333333333,22.7351944444444,b'LP  353-51',02 23 26.7712,+22 44 06.761,27.1928,,pc,-0.045,0.045,paral,2018yCat.1345....0G,,,,,,,,,7.560999870300293,3849,,0.009999999776482582,,b'SUN',,2014MNRAS.443.2561G,M1V
46,HD 15279 ,02:25:52.0 ,-52:57:52.1 ,H-coron (~1 hr); H-coron-pol,36.466666666666704,-52.964472222222206,b'HD  15279',02 25 52.0008,-52 57 52.150,50.391,,pc,-0.0731,0.0731,paral,2018yCat.1345....0G,,,,,,,,,6.909999847412109,5858,,,,b'SUN',,2011A&A...530A.138C,G2V
47,HD 15115 ,02:26:16.2 ,06:17:33.6 ,H-coron (~1 hr); H-coron-pol,36.5675,6.29266666666667,b'HD  15115',02 26 16.3490,+06 17 33.187,49.004,,pc,-0.1004,0.1004,paral,2018yCat.1345....0G,856000.0,,km,,,,2007ApJ...660.1556R,6.329999923706055,5.860000133514404,6801,,,,b'SUN',,2011A&A...530A.138C,F4IV
48,HIP 11964 ,02:34:22.6 ,-43:47:47.0 ,H-coron (~1 hr),38.5941666666667,-43.796388888888906,b'V* CC Eri',02 34 22.6591,-43 47 46.871,11.5373,,pc,-0.0049,0.0049,paral,2018yCat.1345....0G,,,,,,,,6.992000102996826,5.125999927520752,3831,,,,b'SUN',,2014MNRAS.443.2561G,K7V
49,HD 16699A ,02:38:44.2 ,-52:57:03.0 ,H-coron (~1 hr),39.684166666666705,-52.9508333333333,b'HD  16699A',02 38 44.4249,-52 57 03.053,57.8754,,pc,-0.0934,0.0934,paral,2018yCat.1345....0G,,,,,,,,,6.699999809265137,0,,,,b'',,,F8V
50,TYC 8484-1507-1,02:38:45.0 ,-52:57:08.0 ,H-coron (~1 hr),39.6875,-52.952222222222204,b'HD  16699B',02 38 45.1776,-52 57 08.515,58.6975,,pc,-0.5602,0.5602,paral,2018yCat.1345....0G,,,,,,,,,6.632999897003174,0,,,,b'',,,G8V
51,HD 16743 ,02:39:07.6 ,-52:56:05.3 ,H-coron (~1 hr); H-coron-pol,39.7816666666667,-52.9348055555555,b'HD  16743',02 39 07.7049,-52 56 05.300,57.9321,,pc,-0.0916,0.0916,paral,2018yCat.1345....0G,1100000.0,,km,,,,2007ApJ...660.1556R,6.329999923706055,5.9710001945495605,7025,,,,b'SUN',,2011A&A...530A.138C,F0/2III/IV
52,HIP 12394 ,02:39:35.2 ,-68:16:00.8 ,H-coron (~1 hr),39.896666666666704,-68.2668888888889,b'* eps Hyi',02 39 35.6362,-68 16 01.010,47.3577,,pc,-0.5374,0.5374,paral,2018yCat.1345....0G,,,,,,,,,4.433000087738037,10575,,,,b'SUN',,2005A&A...444..941P,B9Va
53,HIP 12413 ,02:39:47.9 ,-42:53:29.8 ,H-coron (~1 hr),39.949583333333294,-42.891611111111104,b'* s Eri',02 39 48.1058,-42 53 30.363,40.4734,,pc,-0.6438,0.6438,paral,2018yCat.1345....0G,,,,,,,,,4.619999885559082,9132,4.110000133514404,,,b'',,2003AJ....125.1598L,A1Vb
54,HIP 12444 ,02:40:12.4 ,-09:27:10.4 ,H-coron (~1 hr),40.051666666666705,-9.452888888888891,b'HD  16673',02 40 12.2589,-09 27 10.336,21.9251,,pc,-0.1178,0.1178,paral,2018yCat.1345....0G,,,,,,,,,4.65500020980835,6253,4.139999866485596,,,b'',,2003AJ....125.1598L,F8VFe-0.4
55,zet Hor ,02:40:39.6 ,-54:33:00.0 ,H-coron (~1 hr),40.165,-54.55,b'* zet Hor',02 40 39.6804,-54 32 59.679,48.9409,,pc,-0.2793,0.2793,paral,2018yCat.1345....0G,,,,,,,,,4.295000076293945,6702,,,,b'SUN',,2011A&A...530A.138C,F6V
56,* 84 Cet B ,02:41:13.7 ,-00:41:41.9 ,H-coron (~1 hr),40.307083333333296,-0.6949722222222221,b'*  84 Cet B',02 41 14.038,-00 41 41.98,,,,,,,,,,,,,,,,,0,,,,b'',,,
57,BD+05 378 ,02:41:25.8 ,05:59:18.4 ,H-coron (~1 hr),40.3575,5.988444444444441,b'BD+05   378',02 41 25.9810,+05 59 18.394,44.4373,,pc,-0.1538,0.1538,paral,2018yCat.1345....0G,,,,,,,,8.807000160217285,7.234000205993652,4100,4.5,0.30000001192092896,,b'SUN',,2014ApJ...792...37M,K6Ve
58,HD 17051 ,02:42:33.5 ,-50:48:01.1 ,H-coron (~1 hr),40.6395833333333,-50.8003055555556,b'* iot Hor',02 42 34.0826,-50 48 01.056,17.3267,,pc,-0.0161,0.0161,paral,2018yCat.1345....0G,,,,,,,,,4.320000171661377,6237,4.460000038146973,0.20000000298023224,,b'',,2018A&A...614A..84S,F8V
59,HIP 12787 ,02:44:21.3 ,10:57:41.2 ,H-coron (~1 hr),41.08875,10.961444444444401,b'MCC 401',02 44 21.4530,+10 57 41.083,48.7648,,pc,-0.3263,0.3263,paral,2018yCat.1345....0G,,,,,,,,,7.361000061035156,3208,,-0.029999999329447746,,b'SUN',,2014MNRAS.443.2561G,M0Ve
60,HIP 12837 ,02:45:01.1 ,-22:09:58.7 ,H-coron (~1 hr),41.254583333333294,-22.166305555555603,b'HD  17207',02 45 01.0297,-22 09 59.519,38.8597,,pc,-0.0686,0.0686,paral,2018yCat.1345....0G,,,,,,,,,5.993000030517578,6246,4.369999885559082,,,b'',,2003AJ....125.1598L,F7V
61,HD 17390 ,02:46:45.1 ,-21:38:22.2 ,H-coron (~1 hr); H-coron-pol,41.6879166666667,-21.6395,b'HD  17390',02 46 45.1989,-21 38 22.281,48.1983,,pc,-0.0836,0.0836,paral,2018yCat.1345....0G,967000.0,,km,,,,2007ApJ...660.1556R,,5.629000186920166,6903,,,,b'SUN',,2011A&A...530A.138C,F3IV/V
62,TYC 1226-1676-2,02:47:27.2 ,19:22:21.2 ,H-coron (~1 hr),41.863333333333294,19.3725555555556,b'HD  17332B',02 47 27.3612,+19 22 20.839,33.0646,,pc,-0.0556,0.0556,paral,2018yCat.1345....0G,,,,,,,,7.400000095367432,5.677000045776367,0,,,,b'',,,G5V
63,HD 17848 ,02:49:01.4 ,-62:48:23.7 ,H-coron (~1 hr); H-coron-pol,42.2558333333333,-62.8065833333333,b'* nu. Hor',02 49 01.7281,-62 48 23.486,51.7149,,pc,-0.3241,0.3241,paral,2018yCat.1345....0G,1310000.0,,km,,,,2007ApJ...660.1556R,,5.156000137329102,8408,,,,b'SUN',,2006A&A...458..293P,A2V
64,HIP 13359 ,02:51:53.0 ,-61:37:05.0 ,H-coron (~1 hr),42.9708333333333,-61.6180555555556,b'V* VZ Hor',02 51 53.3304,-61 37 04.604,40.1263,,pc,-0.0481,0.0481,paral,2018yCat.1345....0G,,,,,,,,7.815000057220459,6.651000022888184,4965,,,,b'SUN',,2011A&A...530A.138C,K1V
65,HR 857 ,02:52:32.1 ,-12:46:10.9 ,H-coron (~1 hr); H-coron-pol,43.13375,-12.7696944444444,b'HD  17925',02 52 32.6035,-12 46 10.970,10.3584,,pc,-0.0047,0.0047,paral,2018yCat.1345....0G,,,,,,,,4.889999866485596,4.130000114440918,5056,4.480000019073486,,,b'',,2003AJ....125.1598L,K1V
66,HIP 13847 ,02:58:15.7 ,-40:18:17.0 ,H-coron (~1 hr),44.5654166666667,-40.3047222222222,b'* tet Eri',02 58 15.5959,-40 18 16.845,51.1253,,pc,-0.9133,0.9133,paral,2018yCat.1345....0G,,,,,,,,,,0,,,,b'',,,A2V
67,HIP 14007 ,03:00:19.7 ,-37:27:16.0 ,H-coron (~1 hr),45.0820833333333,-37.4544444444444,b'HD  18809',03 00 19.7382,-37 27 16.168,48.8892,,pc,-0.2005,0.2005,paral,2018yCat.1345....0G,,,,,,,,,6.931000232696533,5780,,,,b'SUN',,2011A&A...530A.138C,G4V
68,HIP 14551 ,03:07:50.8 ,-27:49:52.0 ,H-coron (~1 hr),46.9616666666667,-27.831111111111102,b'HD  19545',03 07 50.9367,-27 49 52.144,54.2211,,pc,-0.3446,0.3446,paral,2018yCat.1345....0G,,,,,,,,,5.85099983215332,8147,,,,b'SUN',,2012A&A...537A.120Z,A3V
69,LTT 1479 ,03:07:55.7 ,-28:13:10.9 ,H-coron (~1 hr),46.9820833333333,-28.2196944444444,b'CD-28  1030',03 07 55.3103,-28 13 10.963,19.56,,pc,-0.0123,0.0123,paral,2018yCat.1345....0G,,,,,,,,8.371999740600586,6.578000068664551,3792,,-0.15000000596046448,,b'SUN',,2014MNRAS.443.2561G,M1Ve
70,V* AE For ,03:08:06.6 ,-24:45:34.7 ,H-coron (~1 hr),47.0275,-24.759638888888897,b'V* AE For',03 08 07.0515,-24 45 34.734,32.2262,,pc,-0.0321,0.0321,paral,2018yCat.1345....0G,,,,,,,,8.54800033569336,6.8520002365112305,3900,,0.05999999865889549,,b'SUN',,2014MNRAS.443.2561G,K7Ve
71,IS Eri ,03:09:42.3 ,-09:34:46.5 ,H-coron (~1 hr); H-coron-pol,47.42625,-9.57958333333333,b'V* IS Eri',03 09 42.3939,-09 34 46.584,38.7061,,pc,-0.0664,0.0664,paral,2018yCat.1345....0G,,,,,,,,7.639999866485596,6.794000148773193,5500,4.5,-0.03999999910593033,,b'SUN',,2006PASP..118..706P,G8/K0V
72,HIP 14857 ,03:11:52.5 ,-39:01:23.2 ,H-coron (~1 hr),47.96875,-39.0231111111111,b'HD  20029',03 11 52.7037,-39 01 23.575,42.7751,,pc,-0.0503,0.0503,paral,2018yCat.1345....0G,,,,,,,,,5.843999862670898,6301,,,,b'SUN',,2006A&A...450..735M,F7V
73,HIP 15039 ,03:13:50.2 ,-38:48:33.4 ,H-coron (~1 hr); H-coron-pol,48.4591666666667,-38.809277777777794,b'HD  20232',03 13 50.1026,-38 48 33.809,79.466,,pc,-0.192,0.192,paral,2018yCat.1345....0G,,,,,,,,6.690000057220459,6.443999767303467,0,,,,b'',,,A2/3III/IV
74,HIP 15353 ,03:17:59.1 ,-66:55:36.6 ,H-coron (~1 hr),49.49625,-66.9268333333333,b'HD  20888',03 17 59.2457,-66 55 36.665,59.7693,,pc,-0.1625,0.1625,paral,2018yCat.1345....0G,,,,,,,,,,8299,,,,b'SUN',,2012A&A...537A.120Z,A3V
75,HD 20631 ,03:18:41.1 ,-18:33:34.6 ,H-coron (~1 hr),49.67125,-18.559611111111103,b'HD  20631',03 18 41.3046,-18 33 35.251,,,,,,,,,,,,,,,,,6865,3.7899999618530273,,,b'',,2003AJ....125.1598L,F3V
76,HIP 15457 ,03:19:21.7 ,03:22:12.7 ,H-coron (~1 hr),49.8404166666667,3.37019444444444,b'* kap01 Cet',03 19 22.0110,+03 22 12.715,9.1457,,pc,-0.0257,0.0257,paral,2018yCat.1345....0G,0.878,,mas,0.068,,Interfer,2009ApJ...694.1085V,3.9100000858306885,3.3499999046325684,5929,,0.3799999952316284,,b'SUN',,1965ApJ...141..588H,G5V
77,HD 21997 ,03:31:53.6 ,-25:36:50.9 ,H-coron (~1 hr); H-coron-pol,52.9733333333333,-25.6141388888889,b'HD  21997',03 31 53.7168,-25 36 50.936,69.6427,,pc,-0.1955,0.1955,paral,2018yCat.1345....0G,1090000.0,,km,,,,2007ApJ...660.1556R,6.25,6.114999771118164,8433,,,,b'SUN',,2012A&A...537A.120Z,A3IV/V
