star,ra,dec,comment,ra_deg,dec_deg
HIP 159 ,00:02:02.6 ,-02:45:58.2 ,H-coron (~1 hr),0.510833333333333,-2.76616666666667
HD 105 ,00:05:52.5 ,-41:45:11.0 ,H-coron (~1 hr),1.46875,-41.7530555555556
HR 9 ,00:06:50.1 ,-23:06:27.1 ,H-coron (~1 hr); H-coron-pol,1.70875,-23.1075277777778
HD 377 ,00:08:26 ,06:37:00 ,H-coron-pol; H-coron-pol,2.10833333333333,6.61666666666667
HIP 795 ,00:09:51.6 ,08:27:11.5 ,H-coron (~1 hr),2.465,8.45319444444444
HD 987 ,00:13:52.8 ,-74:41:17.5 ,H-coron (~1 hr),3.47,-74.6881944444444
HD 984 ,00:14:10.2 ,-07:11:56.8 ,H-coron (~1 hr),3.5425,-7.19911111111111
HD 1237 ,00:16:12.7 ,-79:51:04.0 ,H-coron (~1 hr),4.05291666666667,-79.8511111111111
HIP 1427 ,00:17:50.0 ,16:19:51.6 ,H-coron (~1 hr),4.45833333333333,16.331
HD 1466 ,00:18:26.1 ,-63:28:39.0 ,H-coron (~1 hr); H-coron-pol,4.60875,-63.4775
HIP 1803 ,00:22:51.8 ,-12:12:34.0 ,H-coron (~1 hr),5.71583333333333,-12.2094444444444
HIP 2072 ,00:26:12.1 ,-43:40:47.7 ,H-coron (~1 hr),6.55041666666667,-43.6799166666667
HIP 2472 ,00:31:25.0 ,-48:48:12.7 ,H-coron (~1 hr); H-coron-pol,7.85416666666667,-48.8035277777778
* bet01 Tuc ,00:31:32.6 ,-62:57:29.5 ,H-coron (~1 hr),7.88583333333333,-62.9581944444444
HIP 2729 ,00:34:51.2 ,-61:54:58.0 ,H-coron (~1 hr),8.71333333333333,-61.9161111111111
HIP 2841 ,00:36:00.8 ,-59:43:01.9 ,H-coron (~1 hr),9.00333333333333,-59.7171944444444
HIP 3203 ,00:40:47.5 ,-07:13:56.6 ,H-coron (~1 hr),10.1979166666667,-7.23238888888889
HIP 3210 ,00:40:51.6 ,-53:12:35.7 ,H-coron (~1 hr); H-coron-pol,10.215,-53.2099166666667
HIP 3277 ,00:41:46.3 ,-56:30:05.2 ,H-coron (~1 hr),10.4429166666667,-56.5014444444444
HIP 3540 ,00:45:11.0 ,00:15:11.8 ,H-coron (~1 hr),11.2958333333333,0.253277777777778
HD 4944 ,00:50:24.3 ,-64:04:04.0 ,H-coron (~1 hr),12.60125,-64.0677777777778
HIP 4290 ,00:54:59.3 ,24:06:01.0 ,H-coron (~1 hr),13.7470833333333,24.1002777777778
HIP 5373 ,01:08:45.7 ,-25:51:40.0 ,H-coron (~1 hr),17.1904166666667,-25.8611111111111
HD 7112 ,01:09:56.6 ,-64:21:33.1 ,H-coron (~1 hr); H-coron-pol,17.4858333333333,-64.3591944444444
TYC 6427-300-1,01:12:40.5 ,-29:10:46.5 ,H-coron (~1 hr),18.16875,-29.1795833333333
HIP 5743 ,01:13:45.3 ,07:34:41.8 ,H-coron (~1 hr),18.43875,7.57827777777778
HD 8077 ,01:19:05.6 ,-53:51:01.9 ,H-coron (~1 hr),19.7733333333333,-53.8505277777778
HIP 6276 ,01:20:32.3 ,-11:28:03.7 ,H-coron (~1 hr),20.1345833333333,-11.4676944444444
HIP 6485 ,01:23:21.1 ,-57:28:50.5 ,H-coron (~1 hr),20.8379166666667,-57.4806944444444
HIP 6494 ,01:23:25.6 ,-76:36:42.1 ,H-coron (~1 hr); H-coron-pol,20.8566666666667,-76.6116944444444
HIP 6856 ,01:28:08.7 ,-52:38:19.1 ,H-coron (~1 hr),22.03625,-52.6386388888889
HIP 6960 ,01:29:36.1 ,-21:37:45.5 ,H-coron (~1 hr),22.4004166666667,-21.6293055555556
HIP 7345 ,01:34:37.7 ,-15:40:34.9 ,H-coron (~1 hr); H-coron-pol,23.6570833333333,-15.6763611111111
HIP 7576 ,01:37:35.4 ,-06:45:36.7 ,H-coron (~1 hr),24.3975,-6.76019444444444
HD 10800 ,01:37:55.6 ,-82:58:30.0 ,H-coron (~1 hr),24.4816666666667,-82.975
HD 10472 ,01:40:24.1 ,-60:59:56.6 ,H-coron (~1 hr); H-coron-pol,25.1004166666667,-60.9990555555556
HD 10647 ,01:42:29.3 ,-53:44:27.0 ,H-coron (~1 hr); H-coron-pol,25.6220833333333,-53.7408333333333
tau Cet ,01:44:04 ,-15:56:14 ,H-coron-pol,26.0166666666667,-15.9372222222222
HIP 8241 ,01:46:06.3 ,-53:31:19.3 ,H-coron (~1 hr); H-coron-pol,26.52625,-53.5220277777778
HIP 8661 ,01:51:36.3 ,-02:38:16.0 ,H-coron (~1 hr),27.90125,-2.63777777777778
HD 12039 ,01:57:48.9 ,-21:54:05.0 ,H-coron (~1 hr); H-coron-pol,29.45375,-21.9013888888889
HIP 9892 ,02:07:18.0 ,-53:11:56.4 ,H-coron (~1 hr); H-coron-pol,31.825,-53.199
HD 13246 ,02:07:26.0 ,-59:40:45.8 ,H-coron (~1 hr); H-coron-pol,31.8583333333333,-59.6793888888889
HD 14228 ,02:16:30.6 ,-51:30:44.0 ,H-coron (~1 hr),34.1275,-51.5122222222222
HIP 10786 ,02:18:53.2 ,-69:53:12.0 ,H-coron (~1 hr),34.7216666666667,-69.8866666666667
LP 353-51 ,02:23:26.6 ,22:44:06.7 ,H-coron (~1 hr),35.8608333333333,22.7351944444444
HD 15279 ,02:25:52.0 ,-52:57:52.1 ,H-coron (~1 hr); H-coron-pol,36.4666666666667,-52.9644722222222
HD 15115 ,02:26:16.2 ,06:17:33.6 ,H-coron (~1 hr); H-coron-pol,36.5675,6.29266666666667
HIP 11964 ,02:34:22.6 ,-43:47:47.0 ,H-coron (~1 hr),38.5941666666667,-43.7963888888889
HD 16699A ,02:38:44.2 ,-52:57:03.0 ,H-coron (~1 hr),39.6841666666667,-52.9508333333333
TYC 8484-1507-1,02:38:45.0 ,-52:57:08.0 ,H-coron (~1 hr),39.6875,-52.9522222222222
HD 16743 ,02:39:07.6 ,-52:56:05.3 ,H-coron (~1 hr); H-coron-pol,39.7816666666667,-52.9348055555555
HIP 12394 ,02:39:35.2 ,-68:16:00.8 ,H-coron (~1 hr),39.8966666666667,-68.2668888888889
HIP 12413 ,02:39:47.9 ,-42:53:29.8 ,H-coron (~1 hr),39.9495833333333,-42.8916111111111
HIP 12444 ,02:40:12.4 ,-09:27:10.4 ,H-coron (~1 hr),40.0516666666667,-9.45288888888889
zet Hor ,02:40:39.6 ,-54:33:00.0 ,H-coron (~1 hr),40.165,-54.55
* 84 Cet B ,02:41:13.7 ,-00:41:41.9 ,H-coron (~1 hr),40.3070833333333,-0.694972222222222
BD+05 378 ,02:41:25.8 ,05:59:18.4 ,H-coron (~1 hr),40.3575,5.98844444444444
HD 17051 ,02:42:33.5 ,-50:48:01.1 ,H-coron (~1 hr),40.6395833333333,-50.8003055555556
HIP 12787 ,02:44:21.3 ,10:57:41.2 ,H-coron (~1 hr),41.08875,10.9614444444444
HIP 12837 ,02:45:01.1 ,-22:09:58.7 ,H-coron (~1 hr),41.2545833333333,-22.1663055555556
HD 17390 ,02:46:45.1 ,-21:38:22.2 ,H-coron (~1 hr); H-coron-pol,41.6879166666667,-21.6395
TYC 1226-1676-2,02:47:27.2 ,19:22:21.2 ,H-coron (~1 hr),41.8633333333333,19.3725555555556
HD 17848 ,02:49:01.4 ,-62:48:23.7 ,H-coron (~1 hr); H-coron-pol,42.2558333333333,-62.8065833333333
HIP 13359 ,02:51:53.0 ,-61:37:05.0 ,H-coron (~1 hr),42.9708333333333,-61.6180555555556
HR 857 ,02:52:32.1 ,-12:46:10.9 ,H-coron (~1 hr); H-coron-pol,43.13375,-12.7696944444444
HIP 13847 ,02:58:15.7 ,-40:18:17.0 ,H-coron (~1 hr),44.5654166666667,-40.3047222222222
HIP 14007 ,03:00:19.7 ,-37:27:16.0 ,H-coron (~1 hr),45.0820833333333,-37.4544444444444
HIP 14551 ,03:07:50.8 ,-27:49:52.0 ,H-coron (~1 hr),46.9616666666667,-27.8311111111111
LTT 1479 ,03:07:55.7 ,-28:13:10.9 ,H-coron (~1 hr),46.9820833333333,-28.2196944444444
V* AE For ,03:08:06.6 ,-24:45:34.7 ,H-coron (~1 hr),47.0275,-24.7596388888889
IS Eri ,03:09:42.3 ,-09:34:46.5 ,H-coron (~1 hr); H-coron-pol,47.42625,-9.57958333333333
HIP 14857 ,03:11:52.5 ,-39:01:23.2 ,H-coron (~1 hr),47.96875,-39.0231111111111
HIP 15039 ,03:13:50.2 ,-38:48:33.4 ,H-coron (~1 hr); H-coron-pol,48.4591666666667,-38.8092777777778
HIP 15353 ,03:17:59.1 ,-66:55:36.6 ,H-coron (~1 hr),49.49625,-66.9268333333333
HD 20631 ,03:18:41.1 ,-18:33:34.6 ,H-coron (~1 hr),49.67125,-18.5596111111111
HIP 15457 ,03:19:21.7 ,03:22:12.7 ,H-coron (~1 hr),49.8404166666667,3.37019444444444
HD 21997 ,03:31:53.6 ,-25:36:50.9 ,H-coron (~1 hr); H-coron-pol,52.9733333333333,-25.6141388888889
eps Eri ,03:32:55.8 ,-09:27:29.7 ,H-coron (~1 hr); H-coron-pol,53.2325,-9.45825
HIP 16846 ,03:36:47.3 ,00:35:15.9 ,H-coron (~1 hr),54.1970833333333,0.58775
HIP 17157 ,03:40:29.4 ,-47:55:31.0 ,H-coron (~1 hr),55.1225,-47.9252777777778
HIP 17338 ,03:42:39.8 ,-20:32:43.8 ,H-coron (~1 hr); H-coron-pol,55.6658333333333,-20.5455
HIP 17395 ,03:43:33.8 ,-10:29:08.2 ,H-coron (~1 hr); H-coron-pol,55.8908333333333,-10.4856111111111
HIP 17695 ,03:47:23.3 ,-01:58:19.9 ,H-coron (~1 hr),56.8470833333333,-1.97219444444444
HIP 17764 ,03:48:11.3 ,-74:41:39.1 ,H-coron (~1 hr); H-coron-pol,57.0470833333333,-74.6941944444444
HD 24071 ,03:48:35.4 ,-37:37:19.2 ,H-coron (~1 hr),57.1475,-37.622
HR 1190 ,03:48:35.8 ,-37:37:12.5 ,H-coron (~1 hr),57.1491666666667,-37.6201388888889
HD 24224 ,03:48:47.3 ,-53:10:56.2 ,H-coron (~1 hr),57.1970833333333,-53.1822777777778
HIP 18512 ,03:57:28.7 ,-01:09:34.1 ,H-coron (~1 hr),59.3695833333333,-1.15947222222222
HIP 18714 ,04:00:31.9 ,-41:44:54.2 ,H-coron (~1 hr),60.1329166666667,-41.7483888888889
HD 25457 ,04:02:36.7 ,-00:16:08.1 ,H-coron (~1 hr),60.6529166666667,-0.268916666666667
HD 25570 ,04:03:56.6 ,08:11:50.1 ,H-coron (~1 hr); H-coron-pol,60.9858333333333,8.19725
HIP 19076 ,04:05:20.3 ,22:00:32.0 ,H-coron (~1 hr),61.3345833333333,22.0088888888889
HIP 19183 ,04:06:41.5 ,01:41:02.9 ,H-coron (~1 hr),61.6729166666667,1.68413888888889
HD 26980 ,04:14:22.5 ,-38:19:01.5 ,H-coron (~1 hr),63.59375,-38.3170833333333
HIP 19855 ,04:15:25.8 ,06:11:58.7 ,H-coron (~1 hr),63.8575,6.19963888888889
HD 26923 ,04:15:28.8 ,06:11:12.7 ,H-coron (~1 hr),63.87,6.18686111111111
gam Dor ,04:16:01.6 ,-51:29:11.9 ,H-coron (~1 hr); H-coron-pol,64.0066666666667,-51.4866388888889
HIP 19990 ,04:17:15.7 ,20:34:43.5 ,H-coron (~1 hr),64.3154166666667,20.57875
HIP 20737 ,04:26:38.6 ,-28:57:06.5 ,H-coron (~1 hr); H-coron-pol,66.6608333333333,-28.9518055555556
51 Eri ,04:37:36.1 ,-02:28:24.8 ,H-coron (~4 hr); Y-coron (~4 hr); J-coron (~4 hr); K1-coron (~4 hr); K2-coron (~6 hr); J-POL (~4 hr),69.4004166666667,-2.47355555555556
HIP 21632 ,04:38:43.9 ,-27:02:01.7 ,H-coron (~1 hr),69.6829166666667,-27.0338055555556
HD 29697 ,04:41:18.8 ,20:54:05.4 ,H-coron (~1 hr),70.3283333333333,20.9015
HIP 21965 ,04:43:17.2 ,-23:37:41.9 ,H-coron (~1 hr),70.8216666666667,-23.6283055555556
HIP 22192 ,04:46:25.7 ,-28:05:15.0 ,H-coron (~1 hr); H-coron-pol,71.6070833333333,-28.0875
HD 30447 ,04:46:49.5 ,-26:18:09.0 ,H-coron (~1 hr); H-coron-pol,71.70625,-26.3025
IX Eri ,04:47:36.3 ,-16:56:04.0 ,H-coron (~1 hr),71.90125,-16.9344444444444
HIP 22295,04:48:05.2,-80:46:45.5,H-coron (~1 hr); H-coron-pol,72.0216666666667,-80.7793055555556
HIP 22506 ,04:50:35.4 ,-41:02:51.4 ,H-coron (~1 hr),72.6475,-41.0476111111111
LP 776-25 ,04:52:24.4 ,-16:49:21.9 ,H-coron (~1 hr),73.1016666666667,-16.82275
HIP 22738 ,04:53:31.2 ,-55:51:37.1 ,H-coron (~1 hr),73.38,-55.8603055555556
HD 31392 ,04:54:04.2 ,-35:24:16.2 ,H-coron (~1 hr); H-coron-pol,73.5175,-35.4045
HIP 22844 ,04:54:53.0 ,-58:32:51.5 ,H-coron (~1 hr),73.7208333333333,-58.5476388888889
HIP 22845 ,04:54:53.7 ,10:09:04.0 ,H-coron (~1 hr); H-coron-pol,73.72375,10.1511111111111
CD-57 1054 ,05:00:47.1 ,-57:15:25.4 ,H-coron (~1 hr),75.19625,-57.2570555555556
HD 32372 ,05:00:51.8 ,-41:01:06.7 ,H-coron (~1 hr); H-coron-pol,75.2158333333333,-41.0185277777778
HD 32309 ,05:01:25.6 ,-20:03:06.9 ,H-coron (~1 hr),75.3566666666667,-20.0519166666667
HD 32297 ,05:02:27.4 ,07:27:39.9 ,H-coron (~1 hr); H-coron-pol,75.6141666666667,7.46108333333333
HIP 23554 ,05:03:53.3 ,-24:23:17.0 ,H-coron (~1 hr),75.9720833333333,-24.3880555555556
zet Dor ,05:05:30.7 ,-57:28:22.7 ,H-coron (~1 hr),76.3779166666667,-57.4729722222222
BD-21 1074 ,05:06:49.9 ,-21:35:09.2 ,H-coron (~1 hr),76.7079166666667,-21.5858888888889
HIP 24362 ,05:13:37.3 ,-32:04:01.8 ,H-coron (~1 hr),78.4054166666667,-32.0671666666667
HIP 24947 ,05:20:38.0 ,-39:45:18.0 ,H-coron (~1 hr); H-coron-pol,80.1583333333333,-39.755
HIP 25127 ,05:22:42.7 ,13:13:45.1 ,H-coron (~1 hr),80.6779166666667,13.2291944444444
* 111 Tau ,05:24:25.4 ,17:23:00.7 ,H-coron (~1 hr); H-coron-pol,81.1058333333333,17.3835277777778
HIP 25283 ,05:24:30.1 ,-38:58:10.2 ,H-coron (~1 hr),81.1254166666667,-38.9695
CD-43 1846 ,05:26:22.9 ,-43:22:36.4 ,H-coron (~1 hr); H-coron-pol,81.5954166666667,-43.3767777777778
HD 35996 ,05:26:24.0 ,-43:22:32.7 ,H-coron (~1 hr); H-coron-pol,81.6,-43.37575
HD 35841 ,05:26:36.6 ,-22:29:23.7 ,H-coron (~1 hr); H-coron-pol,81.6525,-22.4899166666667
AF Lep ,05:27:04.8 ,-11:54:03.5 ,H-coron (~1 hr),81.77,-11.9009722222222
HIP 25544 ,05:27:39.4 ,-60:24:57.6 ,H-coron (~1 hr),81.9141666666667,-60.416
HIP 25627 ,05:28:28.0 ,-39:22:15.6 ,H-coron (~1 hr),82.1166666666667,-39.371
HIP 25709 ,05:29:24.1 ,-34:30:56.0 ,H-coron (~1 hr),82.3504166666667,-34.5155555555556
HIP 25746 ,05:29:50.1 ,-47:04:34.7 ,H-coron (~1 hr),82.45875,-47.0763055555556
TYC 5916-792-1,05:34:09.2 ,-15:17:03.2 ,H-coron (~1 hr),83.5383333333333,-15.2842222222222
TYC 8090-1489-1,05:36:55.0 ,-47:57:47.9 ,H-coron (~1 hr),84.2291666666667,-47.9633055555556
HIP 26395 ,05:37:08.8 ,-11:46:31.7 ,H-coron (~1 hr); H-coron-pol,84.2866666666667,-11.7754722222222
TYC 7604-1675-1,05:37:13.2 ,-42:42:57.3 ,H-coron (~1 hr),84.305,-42.7159166666667
HIP 26412 ,05:37:16.5 ,-27:52:16.3 ,H-coron (~1 hr),84.31875,-27.8711944444444
HD 37484 ,05:37:39.6 ,-28:37:34.7 ,H-coron (~1 hr); H-coron-pol,84.415,-28.6263055555556
HD 37478 ,05:39:17.1 ,10:15:35.4 ,H-coron (~1 hr),84.82125,10.2598333333333
HIP 26990 ,05:43:35.8 ,-39:55:25.0 ,H-coron (~1 hr); H-coron-pol,85.8991666666667,-39.9236111111111
HIP 27134 ,05:45:13.4 ,-59:55:26.0 ,H-coron (~1 hr),86.3058333333333,-59.9238888888889
HIP 27288 ,05:46:57.3 ,-14:49:19.0 ,H-coron (~1 hr); H-coron-pol,86.73875,-14.8219444444444
beta Pic ,05:47:17.1 ,-51:04:00.2 ,H-coron (~1 hr); H-coron-pol,86.82125,-51.0667222222222
HIP 27371 ,05:47:49.5 ,-40:03:50.0 ,H-coron (~1 hr),86.95625,-40.0638888888889
HIP 27441 ,05:48:36.8 ,-39:55:55.0 ,H-coron (~1 hr),87.1533333333333,-39.9319444444444
HD 40781 ,05:59:13.3 ,-38:42:38.0 ,H-coron (~1 hr),89.8054166666667,-38.7105555555556
HIP 28498 ,06:00:55.3 ,-54:57:05.0 ,H-coron (~1 hr),90.2304166666667,-54.9513888888889
HIP 28869 ,06:05:42.1 ,-61:44:55.0 ,H-coron (~1 hr),91.4254166666667,-61.7486111111111
HIP 28921 ,06:06:16.6 ,-27:54:21.2 ,H-coron (~1 hr),91.5691666666667,-27.9058888888889
CD-35 2722 ,06:09:19.2 ,-35:49:31.1 ,H-coron (~1 hr),92.33,-35.8253055555556
V352 CMa ,06:13:45.3 ,-23:51:43.0 ,H-coron (~1 hr),93.43875,-23.8619444444444
HIP 29711 ,06:15:29.7 ,-04:54:52.7 ,H-coron (~1 hr),93.87375,-4.91463888888889
HD 43976 ,06:15:38.8 ,-57:42:05.5 ,H-coron (~1 hr),93.9116666666667,-57.7015277777778
V* AO Men ,06:18:28.2 ,-72:02:41.4 ,H-coron (~1 hr),94.6175,-72.0448333333333
V1358 Ori ,06:19:08.0 ,-03:26:20.0 ,H-coron (~1 hr); H-coron-pol,94.7833333333333,-3.43888888888889
HIP 30034 ,06:19:12.9 ,-58:03:15.8 ,H-coron (~1 hr),94.80375,-58.0543888888889
HIP 30252 ,06:21:50.0 ,-51:14:15.8 ,H-coron (~1 hr); H-coron-pol,95.4583333333333,-51.2377222222222
HD 44748 ,06:21:57.2 ,-34:30:43.7 ,H-coron (~1 hr),95.4883333333333,-34.5121388888889
HD 45270 ,06:22:31.0 ,-60:13:07.7 ,H-coron (~1 hr),95.6291666666667,-60.2188055555556
HIP 30344 ,06:22:57.7 ,-24:33:21.6 ,H-coron (~1 hr),95.7404166666667,-24.556
HIP 30729 ,06:27:20.7 ,-33:06:49.9 ,H-coron (~1 hr),96.83625,-33.1138611111111
HIP 31167 ,06:32:23.1 ,-05:52:07.4 ,H-coron (~1 hr),98.09625,-5.86872222222222
HIP 31850 ,06:39:31.5 ,24:35:59.8 ,H-coron (~1 hr),99.88125,24.5999444444444
HIP 31878 ,06:39:50.1 ,-61:28:42.2 ,H-coron (~1 hr),99.95875,-61.4783888888889
TYC 4803-1418-1,06:40:22.4 ,-03:31:59.1 ,H-coron (~1 hr),100.093333333333,-3.53308333333333
HIP 32075 ,06:42:05.5 ,-38:00:13.7 ,H-coron (~1 hr),100.522916666667,-38.0038055555556
* 26 Gem ,06:42:24.3 ,17:38:43.1 ,H-coron (~1 hr),100.60125,17.6453055555556
TYC 4803-625-1,06:43:01.0 ,-02:53:19.3 ,H-coron (~1 hr); H-coron-pol,100.754166666667,-2.88869444444444
HIP 32235 ,06:43:46.3 ,-71:58:35.8 ,H-coron (~1 hr),100.942916666667,-71.9766111111111
HIP 32349 ,06:45:08.9 ,-16:42:58.0 ,H-coron (~1 hr),101.287083333333,-16.7161111111111
HD 50571 ,06:50:01.0 ,-60:14:57.9 ,H-coron (~1 hr); H-coron-pol,102.504166666667,-60.2494166666667
HIP 32938 ,06:51:42.5 ,-36:13:48.5 ,H-coron (~1 hr),102.927083333333,-36.2301388888889
HD 50554 ,06:54:42.8 ,24:14:44.0 ,H-coron (~1 hr); H-coron-pol,103.678333333333,24.2455555555556
HD 51797 ,06:56:23.5 ,-46:46:55.0 ,H-coron (~1 hr),104.097916666667,-46.7819444444444
HD 53143 ,06:59:59.7 ,-61:20:10.2 ,H-coron (~1 hr); H-coron-pol,104.99875,-61.3361666666667
HIP 33705 ,07:00:09.8 ,-31:08:30.5 ,H-coron (~1 hr),105.040833333333,-31.1418055555556
HD 55279 ,07:00:30.4 ,-79:41:45.9 ,H-coron (~1 hr); H-coron-pol,105.126666666667,-79.6960833333333
HIP 34271 ,07:06:16.8 ,22:41:00.6 ,H-coron (~1 hr),106.57,22.6835
HIP 34782 ,07:12:04.1 ,-30:49:17.0 ,H-coron (~1 hr),108.017083333333,-30.8213888888889
HIP 35350 ,07:18:05.6 ,16:32:25.7 ,H-coron (~1 hr),109.523333333333,16.5404722222222
HIP 35564 ,07:20:21.4 ,-52:18:41.0 ,H-coron (~1 hr),110.089166666667,-52.3113888888889
TYC 8132-2110-1,07:20:21.9 ,-52:18:33.3 ,H-coron (~1 hr),110.09125,-52.30925
HIP 35567 ,07:20:23.0 ,-56:17:41.3 ,H-coron (~1 hr); H-coron-pol,110.095833333333,-56.2948055555556
TYC 7116-2739-1,07:22:16.3 ,-35:55:06.6 ,H-coron (~1 hr),110.567916666667,-35.9185
HIP 35884 ,07:23:53.8 ,-17:24:48.2 ,H-coron (~1 hr),110.974166666667,-17.4133888888889
HIP 36071 ,07:25:57.2 ,-02:14:54.5 ,H-coron (~1 hr),111.488333333333,-2.24847222222222
HD 59704 ,07:29:31.4 ,-38:07:21.0 ,H-coron (~1 hr),112.380833333333,-38.1225
HD 59967 ,07:30:42.6 ,-37:20:22.1 ,H-coron (~1 hr),112.6775,-37.3394722222222
HIP 36832 ,07:34:28.0 ,-52:58:05.4 ,H-coron (~1 hr),113.616666666667,-52.9681666666667
HD 61005 ,07:35:47.5 ,-32:12:14.7 ,H-coron (~1 hr); H-coron-pol,113.947916666667,-32.2040833333333
TYC 1365-1688-1,07:36:01.1 ,18:08:29.5 ,H-coron (~1 hr),114.004583333333,18.1415277777778
HIP 37288 ,07:39:23.0 ,02:11:01.2 ,H-coron (~1 hr),114.845833333333,2.18366666666667
HD 62237 ,07:42:26.5 ,-16:17:00.3 ,H-coron (~1 hr),115.610416666667,-16.2834166666667
HIP 37563 ,07:42:36.1 ,-59:17:51.0 ,H-coron (~1 hr),115.650416666667,-59.2975
HIP 37718 ,07:44:12.5 ,-50:27:24.2 ,H-coron (~1 hr),116.052083333333,-50.4567222222222
HIP 37727 ,07:44:16.5 ,-50:27:59.8 ,H-coron (~1 hr),116.06875,-50.4666111111111
GJ 285 ,07:44:40.2 ,03:33:08.8 ,H-coron (~1 hr),116.1675,3.55244444444444
HIP 37879 ,07:45:50.9 ,-07:31:46.4 ,H-coron (~1 hr),116.462083333333,-7.52955555555556
HD 63608 ,07:46:17.0 ,-59:48:34.0 ,H-coron (~1 hr),116.570833333333,-59.8094444444444
HR 3070 ,07:49:12.9 ,-60:17:01.0 ,H-coron (~1 hr),117.30375,-60.2836111111111
HIP 38188 ,07:49:29.3 ,-54:54:04.4 ,H-coron (~1 hr),117.372083333333,-54.9012222222222
BD +07 1919 ,08:07:09.1 ,07:23:00.1 ,H-coron (~1 hr),121.787916666667,7.38336111111111
TYC 195-2572-1,08:11:15.1 ,01:16:36.4 ,H-coron (~1 hr),122.812916666667,1.27677777777778
HIP 40706 ,08:18:33.3 ,-36:39:33.4 ,H-coron (~1 hr); H-coron-pol,124.63875,-36.6592777777778
HIP 40916 ,08:21:00.5 ,-52:13:40.9 ,H-coron (~1 hr),125.252083333333,-52.2280277777778
HD 70573 ,08:22:50.0 ,01:51:34.0 ,H-coron (~1 hr),125.708333333333,1.85944444444444
HIP 41081 ,08:22:55.2 ,-52:07:25.6 ,H-coron (~1 hr); H-coron-pol,125.73,-52.1237777777778
V* V592 Pup ,08:25:17.7 ,-34:22:01.2 ,H-coron (~1 hr),126.32375,-34.367
HIP 41373 ,08:26:25.2 ,-52:48:27.0 ,H-coron (~1 hr); H-coron-pol,126.605,-52.8075
HIP 41889 ,08:32:30.5 ,15:49:26.2 ,H-coron (~1 hr),128.127083333333,15.8239444444444
HD 72687 ,08:33:15.4 ,-29:57:23.8 ,H-coron (~1 hr); H-coron-pol,128.314166666667,-29.9566111111111
HIP 42172 ,08:35:51.0 ,06:37:12.8 ,H-coron (~1 hr),128.9625,6.62022222222222
V401 Hya ,08:37:50.5 ,-06:48:25.2 ,H-coron (~1 hr),129.460416666667,-6.807
* eta Cha ,08:41:19.5 ,-78:57:48.0 ,H-coron (~1 hr); H-coron-pol,130.33125,-78.9633333333333
